seg_id_nat,model,data_sparsity,rmse,bias,n_obs_test
1444,GDN,2,1.7694569419094084,0.02189882593329989,1852
1444,GDN,100,1.4876607220791644,-0.4509914552032561,1852
1444,HGN,2,2.4573425786287646,0.3281087310988754,1852
1444,HGN,100,1.8071263543870315,0.7897624602714316,1852
1444,proposed,2,1.689357806168358,-0.0028616445368360895,1852
1444,proposed,100,1.509320800480163,0.6608950692492479,1852
1444,sim_proposed,100,5.025896479991749,4.335455345875759,1852
1444,sim_temp_composite,100,2.747118855423401,-1.818827560864405,1852
1444,sim_temp_SNTemp,100,8.709926305485853,7.521136232343412,1852
1445,GDN,2,NA,NA,0
1445,GDN,100,NA,NA,0
1445,HGN,2,NA,NA,0
1445,HGN,100,NA,NA,0
1445,proposed,2,NA,NA,0
1445,proposed,100,NA,NA,0
1445,sim_proposed,100,NA,NA,0
1445,sim_temp_composite,100,NA,NA,0
1445,sim_temp_SNTemp,100,NA,NA,0
1446,GDN,2,NA,NA,0
1446,GDN,100,NA,NA,0
1446,HGN,2,NA,NA,0
1446,HGN,100,NA,NA,0
1446,proposed,2,NA,NA,0
1446,proposed,100,NA,NA,0
1446,sim_proposed,100,NA,NA,0
1446,sim_temp_composite,100,NA,NA,0
1446,sim_temp_SNTemp,100,NA,NA,0
1447,GDN,2,NA,NA,0
1447,GDN,100,NA,NA,0
1447,HGN,2,NA,NA,0
1447,HGN,100,NA,NA,0
1447,proposed,2,NA,NA,0
1447,proposed,100,NA,NA,0
1447,sim_proposed,100,NA,NA,0
1447,sim_temp_composite,100,NA,NA,0
1447,sim_temp_SNTemp,100,NA,NA,0
1448,GDN,2,NA,NA,0
1448,GDN,100,NA,NA,0
1448,HGN,2,NA,NA,0
1448,HGN,100,NA,NA,0
1448,proposed,2,NA,NA,0
1448,proposed,100,NA,NA,0
1448,sim_proposed,100,NA,NA,0
1448,sim_temp_composite,100,NA,NA,0
1448,sim_temp_SNTemp,100,NA,NA,0
1449,GDN,2,4.22917422800512,1.3656100231033939,286
1449,GDN,100,3.4912927919556154,1.7993989120413374,286
1449,HGN,2,4.564152765901536,1.8101836701789935,286
1449,HGN,100,2.903696513131709,1.190305877648867,286
1449,proposed,2,3.440978098731692,1.4432272823957297,286
1449,proposed,100,3.241462897449186,1.447733152412868,286
1449,sim_proposed,100,3.907846287897168,2.713064894642863,286
1449,sim_temp_composite,100,7.281257270294595,2.181373420898601,286
1449,sim_temp_SNTemp,100,7.281257270294595,2.181373420898601,286
1450,GDN,2,2.347212922032448,0.9940735879620957,4849
1450,GDN,100,1.9565280533390088,0.9625170093635894,4849
1450,HGN,2,2.330912864423166,0.9114467959965498,4849
1450,HGN,100,2.1267224277263224,1.0425698371517655,4849
1450,proposed,2,2.057984266289898,0.7336459721245946,4849
1450,proposed,100,1.369991864783595,0.5003898688630237,4849
1450,sim_proposed,100,3.1936925837362713,1.3625209613936935,4849
1450,sim_temp_composite,100,2.8314043796509623,-1.158151020221233,4849
1450,sim_temp_SNTemp,100,3.826629708863847,-0.06016260587418024,4849
1451,GDN,2,NA,NA,0
1451,GDN,100,NA,NA,0
1451,HGN,2,NA,NA,0
1451,HGN,100,NA,NA,0
1451,proposed,2,NA,NA,0
1451,proposed,100,NA,NA,0
1451,sim_proposed,100,NA,NA,0
1451,sim_temp_composite,100,NA,NA,0
1451,sim_temp_SNTemp,100,NA,NA,0
1452,GDN,2,NA,NA,0
1452,GDN,100,NA,NA,0
1452,HGN,2,NA,NA,0
1452,HGN,100,NA,NA,0
1452,proposed,2,NA,NA,0
1452,proposed,100,NA,NA,0
1452,sim_proposed,100,NA,NA,0
1452,sim_temp_composite,100,NA,NA,0
1452,sim_temp_SNTemp,100,NA,NA,0
1453,GDN,2,NA,NA,0
1453,GDN,100,NA,NA,0
1453,HGN,2,NA,NA,0
1453,HGN,100,NA,NA,0
1453,proposed,2,NA,NA,0
1453,proposed,100,NA,NA,0
1453,sim_proposed,100,NA,NA,0
1453,sim_temp_composite,100,NA,NA,0
